,customer_state,freight_value
0,AC,40.07336956521739
1,AL,35.76242696629214
2,AM,33.1694578313253
3,AP,34.00609756097561
4,BA,26.3289563617245
5,CE,32.69222373806276
6,DF,21.023212527964205
7,ES,22.03897742363878
8,GO,22.80941780821918
9,MA,38.31567401960784
10,MG,20.627652696432648
11,MS,23.318134777376653
12,MT,28.087956273764256
13,PA,35.747562557924006
14,PB,42.69676666666667
15,PE,32.79021558872305
16,PI,39.24543599257885
17,PR,20.573070068146077
18,RJ,20.95287397260274
19,RN,35.69677480916031
20,RO,41.10518115942029
21,RR,43.72510204081633
22,RS,21.714888143176733
23,SC,21.48728034474503
24,SE,36.7450656167979
25,SP,15.143058071838418
26,TO,37.27668789808917
